id,name,weather,ramen,drinks,day
77,Ashlee Williams,1,5,5,6
67,Patricia Bishop,1,5,5,6
68,Andrew Smith,3,7,7,5
16,Michael Miranda,4,7,7,5
5,Andrea Weber,2,6,6,7
3,Nicholas Dixon,2,5,5,5
52,Daniel Arroyo,3,6,6,7
6,Jennifer Wilson,3,6,6,7
37,Carlos Villanueva,2,6,6,6
17,David Martinez,0,4,4,7
42,Mr. Kyle Cowan,5,8,8,5
78,John Phillips,4,7,7,7
78,Kathy Avila,5,8,8,6
12,Richard Kennedy,5,8,8,6
35,Jacob Sanchez,4,8,8,5
2,Allison Wood,4,8,8,5
77,Jennifer George,5,8,8,6
8,David Butler,2,6,6,7
95,Paula Lopez,3,6,6,7
93,Paula Snyder,5,8,8,6
42,Alice Taylor,5,9,9,5
92,Cassandra Ward,4,7,7,6
62,Linda Foster,0,3,3,6
89,Michael Peck,1,5,5,5
20,Brad Strong,4,7,7,5
42,Sarah Ray,5,8,8,5
6,Jack Francis,4,8,8,5
75,Pamela Cherry,2,5,5,7
24,Dr. Fernando Wheeler,2,5,5,5
73,Barbara Gonzalez,2,5,5,7
61,Peter Brown,4,7,7,7
46,Joshua Knight,3,7,7,5
2,Melissa Moran,3,7,7,6
58,Ashley Brown,4,7,7,7
31,Carl Brown,0,4,4,7
97,Kayla Salazar,1,4,4,6
24,Michael White,3,6,6,7
7,Stephen Huang,0,3,3,5
51,Michael Thompson,3,6,6,5
29,Mark Schwartz,3,7,7,6
65,Jasmine Stewart,0,3,3,5
29,Anthony Frost,5,8,8,5
54,Rodney Smith,0,4,4,6
23,Michael Daniels,4,7,7,6
70,Kimberly Prince,4,7,7,7
46,Christopher Collier,3,7,7,6
40,Shane Newman,1,4,4,6
63,Dana Green,1,5,5,5
97,George James Jr.,3,7,7,7
19,Jacqueline Kim,3,7,7,5
93,Jesse Johnson,2,5,5,6
72,Nicole Lewis,3,6,6,6
69,Justin Griffith,4,8,8,7
17,Timothy Lopez,1,4,4,5
82,Cassandra Faulkner,2,6,6,7
34,John Ramirez,4,8,8,7
21,Dr. Michael Padilla,3,7,7,5
78,Michael Martin,3,7,7,5
88,Joshua Zimmerman,5,8,8,5
86,Carrie Moore,5,8,8,6
47,Pamela Wilson,1,5,5,6
88,Brenda Leonard,4,8,8,6
20,Ryan Graham,0,4,4,7
34,Chris Crawford,4,8,8,5
30,Ashley Perkins,3,6,6,7
14,Charles Perez,4,7,7,5
1,Jeffrey Keller,3,7,7,5
67,Belinda Hoffman,5,9,9,7
74,Michele Harris,3,6,6,6
14,Sarah Jackson,2,6,6,5
62,Justin Ball,2,6,6,7
36,Christy Graham,0,4,4,6
14,Andrew Barber,1,4,4,7
94,Valerie Dillon,0,3,3,5
57,Angela Ellison,1,4,4,7
56,Melanie Johnson,0,3,3,6
61,Mrs. Katrina Thompson,3,6,6,7
44,Heather Ball,3,6,6,5
17,Joshua Richardson,3,7,7,6
94,Jeffrey Lee,5,9,9,6
33,Heather Chandler,0,3,3,6
85,Tyrone Smith,3,6,6,7
40,Kathryn Fuentes,2,6,6,5
95,Cheryl Gallegos,1,4,4,5
82,Jonathan Parker,3,6,6,5
2,Karen Hogan,1,4,4,5
73,Wendy Johns,3,7,7,7
2,Curtis Pena,2,5,5,7
17,Joshua Reyes,1,5,5,7
81,Christine King,3,7,7,5
30,Kevin Huang,4,7,7,5
9,Sheri Allen,4,8,8,6
37,Joshua Mata,4,7,7,7
43,Glenn Shaffer,2,6,6,7
12,Cynthia Ellison,2,5,5,6
100,Tiffany Williams,3,6,6,7
11,Veronica Johnson,2,6,6,5
92,Nancy Harris,3,7,7,7
90,David Wright,2,6,6,7
74,Luis Cooper,4,7,7,5
17,Jeremy Edwards,3,6,6,6
31,Daniel Combs,0,3,3,7
98,Elizabeth Moore,0,4,4,6
61,Sandra Wilson,0,3,3,6
33,Elizabeth Ramirez,2,5,5,5
11,Claudia Hall,0,4,4,5
48,Timothy Garcia,3,7,7,7
44,Colleen Hoffman,3,7,7,7
84,Brittany Roth,4,7,7,5
22,Danielle Taylor,0,4,4,5
24,Anthony Alvarez,0,4,4,7
71,Cathy Brown,1,4,4,5
78,Steven Murphy,4,8,8,5
27,William Griffith,2,5,5,5
47,Jackie Sutton,1,4,4,7
4,Stephen Ortiz,3,6,6,6
57,Lori Davis,1,5,5,6
7,Frank Solis,2,5,5,7
85,Teresa Gonzalez,2,6,6,5
69,Mrs. Christine Nichols DVM,4,7,7,7
19,James Roth,5,8,8,5
77,David Newman,3,6,6,6
61,Kayla Poole,4,7,7,5
1,Anthony Hall,0,4,4,5
44,Gerald Pace,1,4,4,7
6,Morgan Wang,2,6,6,6
54,Terry Rios,0,4,4,5
93,Diana Parker,4,8,8,7
70,Rachael Martin,5,9,9,7
94,Paul Shaffer,5,9,9,7
8,Joel Molina,2,5,5,7
27,Gary Buck,2,6,6,6
38,Daniel Johnson,2,5,5,5
45,Joe White,5,8,8,7
78,Aaron Boyd,4,8,8,7
49,Kayla Munoz,1,4,4,6
40,Shelia Lucas,3,6,6,7
37,Teresa Reyes,5,8,8,5
38,Morgan Ray,5,8,8,5
60,Ashley Golden,5,8,8,7
6,Zachary Bradshaw,0,3,3,7
78,Frank Stark,2,5,5,5
50,Robert Villegas,0,3,3,7
6,Amy Obrien,1,5,5,5
70,Robert Weaver,4,8,8,6
7,Brian King,1,5,5,6
47,Grant Shannon,0,3,3,5
22,Paul Harris,3,6,6,6
3,Kelsey Edwards,3,6,6,5
77,Brian Huber,4,7,7,7
30,Chad Williams,2,5,5,5
96,Katrina Harris DVM,4,7,7,5
31,Vanessa Fleming,2,5,5,5
19,Amanda Miller,2,6,6,6
93,Andrew Schaefer,1,4,4,5
81,Crystal Clark,2,5,5,6
22,Alexander Valdez,4,7,7,7
23,Allison Solis,0,3,3,7
70,Daniel Cruz,2,5,5,5
35,Melissa Williams,5,8,8,6
87,Mrs. Tara Hawkins DDS,2,6,6,7
44,Anita Merritt,5,8,8,5
40,Kim Smith,0,3,3,7
39,Matthew Wagner,1,5,5,5
6,Thomas Schmidt,4,7,7,7
17,Kristen Montgomery,5,9,9,5
88,Lisa Perkins,0,4,4,5
69,Marc Martin,0,3,3,5
51,Mallory White,5,9,9,6
96,Janet Gibbs,5,8,8,6
56,Jessica Jones,4,8,8,5
80,Tina Williams,5,8,8,6
17,Phillip Underwood,2,5,5,7
51,William Hamilton,1,4,4,6
91,Lisa Smith,2,5,5,7
61,Alyssa Wilson,5,8,8,7
50,Michael Martinez,3,7,7,5
23,Nicholas Lopez,2,6,6,7
49,Patricia Valdez,3,7,7,6
36,John Roberts,0,3,3,6
97,Meghan Williams,4,7,7,7
22,Rebecca Craig,5,8,8,7
16,Brittany Moore,3,6,6,7
72,Brandon Brewer,4,8,8,6
55,Elizabeth Olson,4,7,7,7
77,Jennifer Estrada,0,3,3,6
85,Charles Schmidt,3,6,6,6
79,Natasha Cooper,1,5,5,6
96,Christopher Collins,1,4,4,6
97,Jamie Jones,2,5,5,6
66,Amanda Hall,0,4,4,5
40,Cathy Snyder,4,8,8,6
32,Anita King,0,4,4,5
5,David Holloway,3,6,6,5
86,Lance Murphy,1,4,4,7
75,John Reese,2,5,5,5
86,John Gonzalez,0,4,4,7
59,Ashlee Cox,3,6,6,5
77,Kaitlin Hill,5,8,8,6
72,Bobby Powell,3,6,6,7
6,Megan Garcia,1,4,4,6
19,Claudia Smith,5,8,8,6
63,Brett Hoffman,2,6,6,5
68,Sabrina Christensen,4,7,7,7
83,Karen Escobar,1,4,4,6
33,Carlos Cobb,5,9,9,5
52,Marie Smith,3,7,7,5
83,Jessica Clark,5,9,9,5
6,Norma Simmons,5,9,9,6
70,Carol Robertson,5,8,8,6
50,Michael Humphrey,3,6,6,6
56,Sandra Willis,4,7,7,5
29,Douglas Brown,5,8,8,7
74,Matthew Sanchez,5,9,9,7
56,Joseph Walker,0,3,3,5
75,Ashley Roth,4,8,8,6
83,Elizabeth Taylor,5,9,9,7
42,Robert White,3,6,6,7
3,Benjamin Mitchell,1,4,4,5
57,Amanda Allen,2,6,6,6
82,Michael Sutton,0,3,3,6
21,Michael Schultz,3,7,7,6
5,Brittany Richardson,1,5,5,6
85,Jason Green,2,5,5,6
80,Jeffrey Riley,0,4,4,5
17,Ryan Carroll,1,5,5,5
55,Robert Lopez,1,4,4,5
29,Warren Smith,2,6,6,7
24,Troy Robinson,1,4,4,7
37,Diana Bryant,2,5,5,6
77,Mr. Aaron Miller,2,5,5,6
61,Ronald Lopez,4,8,8,5
55,Mary Campbell,2,6,6,6
16,Gregory Steele,1,5,5,6
47,Michael Carlson,2,5,5,6
45,Andrew Palmer,5,9,9,5
41,Barry Gates,1,4,4,7
30,Christopher Lewis,0,4,4,7
30,Peter Burns,2,6,6,7
11,Carolyn Porter,3,7,7,6
67,Jessica Crawford,1,4,4,5
54,Amanda Mcclain,1,4,4,7
100,Derrick Vaughn,3,6,6,7
12,Anthony Brown,5,9,9,7
7,Joel Gilmore,2,6,6,6
11,Steven Johnson,1,5,5,7
77,Travis Martinez,4,7,7,5
16,Kevin Davis,1,5,5,7
58,Victor Dixon,1,5,5,5
17,Lauren Clark,0,3,3,6
37,Erin Booth,3,6,6,7
67,Jennifer Baker,5,8,8,5
56,Dustin Thompson,3,6,6,6
54,Jeremy Brown,4,8,8,5
77,Timothy Hall,4,8,8,5
18,Douglas Allen,5,9,9,7
15,Carrie Kirby,5,8,8,6
77,Jessica Moon,0,3,3,7
26,Ashley Taylor,5,8,8,5
11,Anne Reid,5,8,8,7
3,Tyler Allen,2,6,6,7
92,Robert Hernandez,5,9,9,7
28,Edward Skinner,2,6,6,7
29,Olivia Jennings PhD,3,6,6,5
22,Megan Cooper,1,4,4,5
52,Michael Anderson,2,5,5,6
87,Joshua Boone,2,5,5,6
70,Andrew Hernandez,3,6,6,7
1,Veronica Morris,2,5,5,6
26,Mr. Kyle Howard,3,6,6,7
12,Kathleen Wheeler,0,4,4,6
84,David Morgan,0,4,4,7
97,April Duran,4,8,8,5
57,Jeremy Strickland,5,8,8,7
11,Carl Phillips,3,7,7,6
40,Anthony Kramer,4,8,8,6
17,James Humphrey,4,7,7,6
21,Zachary Powell,2,5,5,5
74,Dr. Jaime Brown,5,8,8,5
23,Grace Torres,2,5,5,5
8,Amy Andrews,5,8,8,7
40,Ashley Miller,3,7,7,5
50,Mitchell Jones,5,8,8,6
92,Lauren Freeman,4,8,8,7
52,Abigail Martinez,4,8,8,7
45,Rebecca Hickman,1,5,5,6
56,Johnny Fuentes,4,8,8,7
25,Cheryl Jennings,2,5,5,7
26,Catherine Cervantes,1,4,4,6
38,Christopher Wilson,5,9,9,5
15,Amanda Brown,4,7,7,6
50,Melissa Rodriguez,4,7,7,6
26,Dana Dillon,0,3,3,7
21,Nathan Robinson,3,7,7,6
100,Jasmine Bartlett,3,7,7,5
61,Chloe Farmer,2,5,5,7
32,Tyrone Anderson,2,6,6,7
13,Christopher Mathews,2,5,5,7
11,Dr. Angela Brown,5,9,9,6
93,Lindsey Graham,4,8,8,6
59,Kathleen Young,4,8,8,5
81,Michael Christian,1,4,4,5
48,Shannon Anderson,2,6,6,7
2,Nicole Miller,0,3,3,7
65,Kimberly Martinez,1,4,4,7
5,Brent Williams,5,8,8,5
95,Kyle Porter,5,8,8,7
67,David Lawrence,4,7,7,6
72,Barbara Farmer,1,5,5,6
40,Jonathan Fields,5,8,8,6
41,Joanne Johnson,4,8,8,5
66,Claudia Fleming,5,8,8,6
82,Douglas Walsh,5,9,9,7
29,Nicholas Davis,1,5,5,7
34,Gregory Garcia,5,8,8,6
86,Jillian Gilmore,0,4,4,7
